path,has_src,has_dist,last_src_mod,last_dist_mod,dist_size,src_size,age_delta_days
controllers/techController.js,1,1,2026-01-19,2026-03-31,12407,10354,71.4
controllers/resellerStatsController.js,0,1,,2026-03-31,6082,,
controllers/contractController.js,1,1,2026-01-19,2026-03-31,16840,9349,71.4
controllers/stockMovementController.js,1,1,2026-01-19,2026-03-31,5970,4716,71.4
controllers/financeController.js,1,1,2026-01-24,2026-03-31,57842,43333,66.6
controllers/WebhookDeliveryController.js,1,1,2026-01-19,2026-03-31,9099,6425,71.4
controllers/numberingController.js,1,1,2026-01-19,2026-03-31,7833,4932,71.4
controllers/pushNotificationController.js,1,1,2026-01-19,2026-03-31,11810,10171,71.4
controllers/stockMovementControllerExtensions.js,1,1,2026-01-19,2026-02-12,9651,8135,24.0
controllers/paymentReminderController.js,1,1,2026-01-19,2026-03-31,4542,3030,71.4
controllers/integrationCredentialsController.js,1,1,2026-01-19,2026-03-31,22204,21959,71.4
controllers/trashController.js,0,1,,2026-03-31,8689,,
controllers/objectController.js,0,1,,2026-04-16,36535,,
controllers/clientController.js,1,1,2026-01-19,2026-04-03,11854,5332,74.7
controllers/messageTemplatesController.js,0,1,,2026-03-31,8809,,
controllers/smsCommandController.js,0,1,,2026-03-31,8979,,
controllers/fleetController.js,1,1,2026-01-19,2026-03-31,10706,10097,71.4
controllers/adminFeatureController.js,1,1,2026-01-19,2026-03-31,28147,16124,71.4
controllers/ticketController.js,1,1,2026-01-19,2026-04-19,29194,16978,90.7
controllers/alertController.js,1,1,2026-01-19,2026-04-06,8405,1858,77.7
controllers/recoveryController.js,1,1,2026-01-19,2026-03-31,10463,9151,71.4
controllers/authController.js,1,1,2026-01-19,2026-04-19,31294,11983,90.7
controllers/tierController.js,0,1,,2026-04-19,22592,,
controllers/sendController.js,1,1,2026-01-19,2026-03-31,12769,7943,71.4
controllers/csvImportController.js,1,1,2026-01-19,2026-03-31,9819,11908,71.4
controllers/supplierController.js,1,1,2026-01-19,2026-03-31,8080,10976,71.4
controllers/leadScoringController.js,1,1,2026-01-19,2026-03-31,8863,8972,71.4
controllers/discoveredDeviceController.js,0,1,,2026-03-31,6660,,
controllers/crmActivityController.js,1,1,2026-01-19,2026-03-31,14130,12224,71.4
controllers/systemController.js,1,1,2026-01-19,2026-03-31,9465,7892,71.4
controllers/monitoringController.js,1,1,2026-01-19,2026-04-17,22541,17635,88.3
controllers/RoleController.js,1,1,2026-01-27,2026-03-31,12448,10101,63.1
controllers/crmController.js,1,1,2026-01-19,2026-03-31,18444,8987,71.4
controllers/SettingsController.js,1,1,2026-01-19,2026-04-19,21144,14340,90.5
controllers/manualNotificationController.js,1,1,2026-01-19,2026-03-31,16936,16591,71.4
controllers/creditNoteController.js,1,1,2026-01-19,2026-03-31,11953,15473,71.4
controllers/auditController.js,1,1,2026-01-19,2026-03-31,1979,814,71.4
controllers/vehicleController.js,1,1,2026-01-19,2026-04-06,40303,24779,77.2
controllers/ApiKeyController.js,1,1,2026-01-19,2026-04-19,9702,8429,90.7
controllers/interventionReportController.js,1,1,2026-01-19,2026-03-31,11640,9403,71.4
controllers/salesPipelineController.js,1,1,2026-01-19,2026-03-31,11270,12027,71.4
controllers/aiController.js,0,1,,2026-03-31,28899,,
controllers/TenantController.js,1,1,2026-01-19,2026-03-31,17078,17242,71.4
controllers/userController.js,0,1,,2026-04-19,36022,,
controllers/faqController.js,1,1,2026-01-19,2026-03-31,17828,17889,71.4
controllers/registrationRequestsController.js,1,1,2026-01-19,2026-03-31,18759,11975,71.4
controllers/deviceController.js,1,1,2026-01-19,2026-04-15,23007,6150,86.4
controllers/leadController.js,1,1,2026-01-19,2026-03-31,7947,4835,71.4
